Age group ,Population,At least one dose,At least one dose percent,Fully Vaccinated,Fully Vaccinated Percent,Additional Dose 1 Received Count,Additional Dose 1 Received Percent,Date
<2,70167,0,0,0,0,,,06/30/2021
2-11,389173,0,0,0,0,,,06/30/2021
12-15,176600,81182,46,64802,36.7,,,06/30/2021
16-24,433573,252862,58.3,220568,50.9,,,06/30/2021
25-34,448029,273076,61,244932,54.7,,,06/30/2021
35-44,427141,298773,69.9,271612,63.6,,,06/30/2021
45-54,476905,352701,74,322211,67.6,,,06/30/2021
55-64,513455,434884,84.7,404375,78.8,,,06/30/2021
65-74,352819,322933,91.5,306890,87,,,06/30/2021
75+,277425,243113,87.6,230718,83.2,,,06/30/2021
<2,70167,0,0,0,0,,,06/24/2021
2-11,389173,0,0,0,0,,,06/24/2021
12-15,176600,77725,44,59570,33.7,,,06/24/2021
16-24,433573,248829,57.4,211970,48.9,,,06/24/2021
25-34,448029,269610,60.2,236930,52.9,,,06/24/2021
35-44,427141,295545,69.2,263376,61.7,,,06/24/2021
45-54,476905,350325,73.5,314105,65.9,,,06/24/2021
55-64,513455,433039,84.3,399880,77.9,,,06/24/2021
65-74,352819,322206,91.3,305027,86.5,,,06/24/2021
75+,277425,242731,87.5,229774,82.8,,,06/24/2021
<2,70167,0,0,0,0,,,06/16/2021
2-11,389173,0,0,0,0,,,06/16/2021
12-15,176600,73068,41.4,50439,28.6,,,06/16/2021
16-24,433573,244061,56.3,204150,47.1,,,06/16/2021
<2,70167,0,0,0,0,,,10/06/2021
25-34,448029,265391,59.2,229859,51.3,,,06/16/2021
35-44,427141,291833,68.3,256813,60.1,,,06/16/2021
45-54,476905,347480,72.9,308881,64.8,,,06/16/2021
55-64,513455,430687,83.9,395737,77.1,,,06/16/2021
65-74,352819,321251,91.1,303312,86,,,06/16/2021
75+,277425,242164,87.3,228851,82.5,,,06/16/2021
<2,70167,0,0,0,0,,,06/09/2021
2-11,389173,0,0,0,0,,,06/09/2021
12-15,176600,67240,38.1,28138,15.9,,,06/09/2021
16-24,433573,238284,55,192537,44.4,,,06/09/2021
25-34,448029,260450,58.1,220282,49.2,,,06/09/2021
35-44,427141,287378,67.3,247330,57.9,,,06/09/2021
